idpedido   cliente   idempleado   idempresa   importe   pais
10248      WILMK     0000000005   000000003     32.38   Finlandia
10249      TOMSP     0000000006   000000001     11.61   Alemania
10250      HANAR     0000000004   000000002     65.83   Brasil
10251      VICTE     0000000003   000000001     41.34   Francia
10252      SUPRD     0000000004   000000002     51.30   Belgica
10253      HANAR     0000000003   000000002     58.17   Brasil
10254      CHOPS     0000000005   000000002     22.98   Suiza
10255      RICSU     0000000009   000000003    148.33   Suiza
10256      WELLI     0000000003   000000002     13.97   Brasil
10257      HILAA     0000000004   000000003     81.91   Venezuela
10258      ERNSH     0000000001   000000001    140.51   Austria
10259      CENTC     0000000004   000000003      3.25   Mexico
10260      OTTIK     0000000004   000000001     55.09   Alemania
10261      QUEDE     0000000004   000000002      3.05   Brasil
10262      RATTC     0000000008   000000003     48.29   Estados Unidos
10263      ERNSH     0000000009   000000003    146.06   Austria
10264      FOLKO     0000000006   000000003      3.67   Suecia
10265      BLONP     0000000002   000000001     55.28   Francia
10266      WARTH     0000000003   000000003     25.73   Finlandia
10267      FRANK     0000000004   000000001    208.58   Alemania
10268      GROSR     0000000008   000000003     66.29   Venezuela
10269      WHITC     0000000005   000000001      4.56   Estados Unidos
10270      WARTH     0000000001   000000001    136.54   Finlandia
10271      SPLIR     0000000006   000000002      4.54   Estados Unidos
10272      RATTC     0000000006   000000002     98.03   Estados Unidos
10273      QUICK     0000000003   000000003     76.07   Alemania
10274      VINET     0000000006   000000001      6.01   Francia
10275      MAGAA     0000000001   000000001     26.93   Italia
10276      TORTU     0000000008   000000003     13.84   Mexico
10277      MORGK     0000000002   000000003    125.77   Alemania
10278      BERGS     0000000008   000000002     92.69   Suecia
10279      LEHMS     0000000008   000000002     25.83   Alemania
10280      BERGS     0000000002   000000001      8.98   Suecia
10281      ROMEY     0000000004   000000001      2.94   Espanya
10282      ROMEY     0000000004   000000001     12.69   Espanya
10283      LILAS     0000000003   000000003     84.81   Venezuela
10284      LEHMS     0000000004   000000001     76.56   Alemania
10285      QUICK     0000000001   000000002     76.83   Alemania
10286      QUICK     0000000008   000000003    229.24   Alemania
10287      RICAR     0000000008   000000003     12.76   Brasil
10288      REGGC     0000000004   000000001      7.45   Italia
10289      BSBEV     0000000007   000000003     22.77   Reino Unido
10290      COMMI     0000000008   000000001     79.70   Brasil
10291      QUEDE     0000000006   000000002      6.40   Brasil
10292      TRADH     0000000001   000000002      1.35   Brasil
10293      TORTU     0000000001   000000003     21.18   Mexico
10294      RATTC     0000000004   000000002    147.26   Estados Unidos
10295      VINET     0000000002   000000002      1.15   Francia
10296      LILAS     0000000006   000000001      0.12   Venezuela
10297      BLONP     0000000005   000000002      5.74   Francia
